lemma,sense_name,definition,example,example_source,Notes,Num_WN_Examples
new,new.s.08,in use after medieval times,no_example,no_example,unknown sense,1
nuts,en.n.01,half the width of an em,no_example,no_example,unknown sense,0
nuts,nut.n.02,Egyptian goddess of the sky,no_example,no_example,unknown sense,0
pencil,pencil.n.03,a figure formed by a set of straight lines or light rays meeting at a point,no_example,no_example,unknown sense,0
pig,pig.n.06,a crude block of metal (lead or iron) poured from a smelting furnace,no_example,no_example,unknown sense,0
plate,plate.n.07,the thin under portion of the forequarter,no_example,no_example,unknown sense,0
plate,plate.n.10,the positively charged electrode in a vacuum tube,no_example,no_example,unknown sense,0
pony,pony.n.03,a literal translation used in studying a foreign language (often used illicitly),no_example,no_example,unknown sense,0
rock,rock.n.03,United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984),no_example,no_example,proper noun,0
salt,salt.n.01,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal),no_example,no_example,unknown sense,0
snow,snow.n.03,English writer of novels about moral dilemmas in academe (1905-1980),no_example,no_example,proper noun,0
soap,soap.n.03,street names for gamma hydroxybutyrate,no_example,no_example,unknown sense,0
soft,soft.a.09,(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh'),no_example,no_example,unknown sense,0
soft,voiced.a.01,produced with vibration of the vocal cords,no_example,no_example,unknown sense,2
stick,joint.n.06,marijuana leaves rolled into a cigarette for smoking,no_example,no_example,unknown sense,0
stone,stone.n.07,United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946),no_example,no_example,proper noun,0
stone,stone.n.08,United States filmmaker (born in 1946),no_example,no_example,proper noun,0
stone,stone.n.09,United States feminist and suffragist (1818-1893),no_example,no_example,proper noun,0
stone,stone.n.10,United States journalist who advocated liberal causes (1907-1989),no_example,no_example,proper noun,0
stone,stone.n.11,United States jurist who served on the United States Supreme Court as chief justice (1872-1946),no_example,no_example,proper noun,0
stone,stone.n.12,United States architect (1902-1978),no_example,no_example,proper noun,0
tongue,clapper.n.03,metal striker that hangs inside a bell and makes a sound by hitting the side,no_example,no_example,unknown sense,0
toothbrush,soup-strainer.n.01,slang for a mustache,no_example,no_example,unknown sense,0
tree,tree.n.03,English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917),no_example,no_example,proper noun,0
tuna,tuna.n.01,tropical American prickly pear of Jamaica,no_example,no_example,unknown sense,0
wet,besotted.s.01,very drunk,no_example,no_example,unknown sense,0
wolf,wolf.n.02,Austrian composer (1860-1903),no_example,no_example,proper noun,0
wolf,wolf.n.03,German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824),no_example,no_example,proper noun,0
