study_name,participant_id,duration_in_seconds,finished,consent,eng_first_lang,gender,gender_desc,age,parent,education_level,sneaker_example_1,sneaker_example_2,block_order,participant_num,difficulty,interface_feedback,gen_feedback
pro_pilot,pro_pilot_10,1208,True,I consent to participate in this study.,Yes,Female,NA,35,No,4-year college degree,x,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,10,Extremely easy,NA,NA
pro_pilot,pro_pilot_11,1328,True,I consent to participate in this study.,Yes,Female,NA,29,No,Some college,5,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,11,Slightly difficult,Its just really hard to recall when the context of a word was learned.,NA
pro_pilot,pro_pilot_12,1193,True,I consent to participate in this study.,Yes,Male,NA,20,No,Some college,5,5,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,12,Extremely easy,NA,NA
pro_pilot,pro_pilot_13,2703,True,I consent to participate in this study.,Yes,Male,NA,15,No,No GED/ No high school diploma,8,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,13,Neither easy nor difficult,My internet cut out halfway but my progress was saved.,NA
pro_pilot,pro_pilot_14,1840,True,I consent to participate in this study.,Yes,Female,NA,20,No,Some college,12,8,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,14,Slightly difficult,It was just difficult to pinpoint when I think I learned a word,I dont think so!
pro_pilot,pro_pilot_15,3736,True,I consent to participate in this study.,Yes,Female,NA,33,No,2-year college degree,12,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,15,Slightly difficult,NA,The survey was to long.
pro_pilot,pro_pilot_16,2649,True,I consent to participate in this study.,Yes,Other,nonbinary,28,No,Some college,11,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,16,Extremely difficult,Some of the words were used in ways I've never heard or seen in my region of the world.,"Two of the definitions were especially triggering to me, which is what led to the extreme difficulty, as I was trying to complete this survey whilst having a panic attack. I'm still shaking terribly, so please forgive any typos, though I am trying my level best to leave none. 

The two statements in particular were for the words ""catch"" and ""stone."" There is nothing wrong with these words in and of themselves, but the examples were needlessly violent, and specifically triggered flashbacks to a concussion I suffered around age 11. There was no warning that there could be potentially triggering content, and I was caught entirely unprepared.

The examples were, ""The rock caught her in the back of the head"" and ""He threw a stone at me.""

For more detail, my specific incident was related to two boys from my grade, throwing rocks at the back of my head while on the way home from school, because they thought I was a witch. I will not go into more detail, but I hope you can understand why this btrought up some bad thoughts for me, and whu it might make my results a little unreliable after those questions."
pro_pilot,pro_pilot_17,4117,True,I consent to participate in this study.,Yes,Female,NA,35,Yes,Doctorate,8,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,17,Extremely easy,no,NA
pro_pilot,pro_pilot_18,1800,True,I consent to participate in this study.,Yes,Male,NA,28,No,4-year college degree,15,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,18,Slightly difficult,NA,NA
pro_pilot,pro_pilot_19,983,True,I consent to participate in this study.,Yes,Female,NA,20,No,Some college,7,5,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,19,Moderately easy,N/A,"I have experienced some childhood trauma, making it difficult to remember some things. However I gave my best guesses."
pro_pilot,pro_pilot_20,266,False,I consent to participate in this study.,Yes,Female,NA,20,No,Some college,5,9,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,20,NA,NA,NA
pro_pilot,pro_pilot_21,464,False,I consent to participate in this study.,Yes,Other,None,33,No,4-year college degree,X,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,21,NA,NA,NA
pro_pilot,pro_pilot_22,332,False,I consent to participate in this study.,Yes,Female,NA,18,No,Prefer not to say,6,6,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,22,NA,NA,NA
pro_pilot,pro_pilot_23,38,False,I consent to participate in this study.,Yes,Female,NA,20,No,Some college,NA,NA,NA,23,NA,NA,NA
pro_pilot,pro_pilot_24,388,False,I consent to participate in this study.,Yes,Female,NA,29,No,Master's degree,29,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,24,NA,NA,NA
pro_pilot,pro_pilot_25,1930,False,I consent to participate in this study.,Yes,Male,NA,23,No,2-year college degree,6,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,25,NA,NA,NA
sp_pilot,sp_pilot_0,203,True,I consent to participate in this study.,NA,NA,NA,NA,NA,NA,NA,NA,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,0,NA,NA,NA
sp_pilot,sp_pilot_1,786,True,I consent to participate in this study.,Yes,Female,NA,21,No,Some college,21,2,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,1,Neither easy nor difficult,NA,NA
sp_pilot,sp_pilot_2,1554,True,I consent to participate in this study.,Yes,Female,NA,21,No,Some college,21,5,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,2,Moderately easy,n/a,N/A
sp_pilot,sp_pilot_3,3276,True,I consent to participate in this study.,Yes,Female,NA,21,No,Prefer not to say,X,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,3,Moderately difficult,N/A,N/A
sp_pilot,sp_pilot_4,1153,True,I consent to participate in this study.,Yes,Female,NA,20,No,4-year college degree,20,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,4,Neither easy nor difficult,Was struggling trying to figure out the exact age I learnt the word,"Maybe instead of asking for a specific age number, put like 0-3, 3-6?"
sp_pilot,sp_pilot_5,2427,True,I consent to participate in this study.,Yes,Female,NA,21,No,4-year college degree,12,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,5,Moderately difficult,No issues to report.,NA
sp_pilot,sp_pilot_6,1390,True,I consent to participate in this study.,Yes,Female,NA,19,No,Some college,10,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,6,Slightly easy,"Nope, everything was clear.",Maybe include different varieties of words?
sp_pilot,sp_pilot_7,1348,True,I consent to participate in this study.,Yes,Female,NA,20,No,Some college,7,6,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,7,Extremely easy,NA,NA
sp_pilot,sp_pilot_8,1815,True,I consent to participate in this study.,Yes,Male,NA,22,No,2-year college degree,X,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,8,Slightly difficult,NA,It is very difficult to recall or even estimate ages at which I learned a word. I believe my mom would provide more accurate answers than me.
sp_pilot,sp_pilot_9,2862,True,I consent to participate in this study.,Yes,Female,NA,18,No,Some college,8,6,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,9,Moderately easy,NA,NA
sp_pilot,sp_pilot_10,1071,True,I consent to participate in this study.,Yes,Male,NA,18,No,Some college,9,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,10,Moderately easy,No,No
sp_pilot,sp_pilot_11,732,True,I consent to participate in this study.,Yes,Male,NA,20,No,4-year college degree,12,10,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,11,Extremely easy,Nope,Nope
sp_pilot,sp_pilot_12,962,True,I consent to participate in this study.,Yes,Male,NA,21,No,2-year college degree,9,10,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,12,Moderately easy,no,no
sp_pilot,sp_pilot_13,6160,True,I consent to participate in this study.,Yes,Female,NA,20,No,4-year college degree,X,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,13,Extremely easy,n/a,n/a
sp_pilot,sp_pilot_14,1236,True,I consent to participate in this study.,Yes,Female,NA,21,No,Some college,21,3,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,14,Slightly easy,none,NA
sp_pilot,sp_pilot_15,1048,True,I consent to participate in this study.,No,Female,NA,21,No,2-year college degree,12,5,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,15,Slightly easy,None.,Is it necessary to repeat the other words?
sp_pilot,sp_pilot_16,2512,True,I consent to participate in this study.,Yes,Male,NA,20,No,Some college,X,9,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,16,Moderately difficult,no,no
sp_pilot,sp_pilot_17,2564,True,I consent to participate in this study.,No,Female,NA,26,No,2-year college degree,x,4,calib_puppy_1|hug_1|cat_1|see_1|spoon_1|animal_1|attn_sock_1|catch_4|dog_2|dirty_2|tired_1|pull_3|calib_stone_2|dirty_1|drink_1|lollipop_1|wash_1|break_3|attn_cake_1|helicopter_1|potty_1|water_1|wet_1|cry_2|read_1|calib_ball_3|sun_1|shower_2|fork_1|lamp_1|blanket_1|head_7|attn_sandbox_1|mouse_1|money_1|squirrel_1|awake_1|break_8|kitchen_1|calib_glue_1,17,Neither easy nor difficult,a little confusing,NA
